(5, 3, 4)
(13, 5, 12)
(17, 15, 8)
(25, 7, 24)
(29, 21, 20)
(37, 35, 12)
(41, 9, 40)
(53, 45, 28)
(61, 11, 60)
(65, 33, 56)
(65, 63, 16)
(73, 55, 48)
(85, 77, 36)
(85, 13, 84)
(89, 39, 80)
(97, 65, 72)
(101, 99, 20)
(109, 91, 60)
(113, 15, 112)
(125, 117, 44)
(137, 105, 88)
(145, 17, 144)
(145, 143, 24)
(149, 51, 140)
(157, 85, 132)
(169, 119, 120)
(173, 165, 52)
(181, 19, 180)
(185, 153, 104)
(185, 57, 176)
(193, 95, 168)
(197, 195, 28)
(205, 133, 156)
(205, 187, 84)
(221, 21, 220)
(221, 171, 140)
(229, 221, 60)
(233, 105, 208)
(241, 209, 120)
(257, 255, 32)
(265, 23, 264)
(265, 247, 96)
(269, 69, 260)
(277, 115, 252)
(281, 231, 160)
(289, 161, 240)
(293, 285, 68)
(305, 273, 136)
(305, 207, 224)
(313, 25, 312)
(317, 75, 308)
(325, 323, 36)
(325, 253, 204)
(337, 175, 288)
(349, 299, 180)
(353, 225, 272)
(365, 357, 76)
(365, 27, 364)
(373, 275, 252)
(377, 345, 152)
(377, 135, 352)
(389, 189, 340)
(397, 325, 228)
(401, 399, 40)
(409, 391, 120)
(421, 29, 420)
(425, 87, 416)
(425, 297, 304)
(433, 145, 408)
(445, 437, 84)
(445, 203, 396)
(449, 351, 280)
(457, 425, 168)
(461, 261, 380)
(481, 31, 480)
(481, 319, 360)
(485, 93, 476)
(485, 483, 44)
(493, 155, 468)
(493, 475, 132)
(505, 377, 336)
(505, 217, 456)
(509, 459, 220)
(521, 279, 440)
(533, 525, 92)
(533, 435, 308)
(541, 341, 420)
(545, 513, 184)
(545, 33, 544)
(557, 165, 532)
(565, 493, 276)
(565, 403, 396)
(569, 231, 520)
(577, 575, 48)
(593, 465, 368)
(601, 551, 240)
(613, 35, 612)
(617, 105, 608)
(625, 527, 336)
(629, 621, 100)
(629, 429, 460)
(641, 609, 200)
(653, 315, 572)
(661, 589, 300)
(673, 385, 552)
(677, 675, 52)
(685, 37, 684)
(685, 667, 156)
(689, 561, 400)
(689, 111, 680)
(697, 185, 672)
(697, 455, 528)
(701, 651, 260)
(709, 259, 660)
(725, 627, 364)
(725, 333, 644)
(733, 725, 108)
(745, 713, 216)
(745, 407, 624)
(757, 595, 468)
(761, 39, 760)
(769, 481, 600)
(773, 195, 748)
(785, 273, 736)
(785, 783, 56)
(793, 665, 432)
(793, 775, 168)
(797, 555, 572)
(809, 759, 280)
(821, 429, 700)
(829, 629, 540)
(841, 41, 840)
(845, 837, 116)
(845, 123, 836)
(853, 205, 828)
(857, 825, 232)
(865, 287, 816)
(865, 703, 504)
(877, 805, 348)
(881, 369, 800)
(901, 451, 780)
(901, 899, 60)
(905, 777, 464)
(905, 663, 616)
(925, 43, 924)
(925, 533, 756)
(929, 129, 920)
(937, 215, 912)
(941, 741, 580)
(949, 301, 900)
(949, 851, 420)
(953, 615, 728)
(965, 957, 124)
(965, 387, 884)
(977, 945, 248)
(985, 697, 696)
(985, 473, 864)
(997, 925, 372)
(1009, 559, 840)
(1013, 45, 1012)
(1021, 779, 660)
(1025, 1023, 64)
(1025, 897, 496)
(1033, 1015, 192)
(1037, 645, 812)
(1037, 315, 988)
(1049, 999, 320)
(1061, 861, 620)
(1069, 731, 780)
(1073, 495, 952)
(1073, 975, 448)
(1093, 1085, 132)
(1097, 585, 928)
