('script.搜索冫伪素数牜临近幂方._0worker_', (24, 2, 4, [2, 3, 5, 7]), {})
(24, 59, -4, (2, 3, 5, 7), [-811, -1253, -1331, -1511], [73, 95, 425, 697])
(24, 60, -4, (2, 3, 5, 7), [-247, -395, -427, -1259], [211, 283, 787, 1391])
(24, 61, -4, (2, 3, 5, 7), [-131, -847, -1447, -1777], [47, 439, 455, 595])
(24, 62, -4, (2, 3, 5, 7), [-239, -397, -665, -1043], [11, 287, 545, 575])
(24, 63, -4, (2, 3, 5, 7), [-127, -145, -373, -443], [415, 473, 875, 1069])
(24, 64, -4, (2, 3, 5, 7), [-23, -127, -457, -527], [53, 173, 445, 1411])
(24, 65, -4, (2, 3, 5, 7), [-287, -377, -455, -541], [7, 209, 433, 937])
(24, 66, -4, (2, 3, 5, 7), [-247, -517, -569, -587], [253, 397, 1411, 1621])
(24, 67, -4, (2, 3, 5, 7), [-307, -721, -725, -965], [29, 217, 253, 569])
(24, 68, -4, (2, 3, 5, 7), [-175, -287, -479, -775], [197, 253, 373, 491])
(24, 69, -4, (2, 3, 5, 7), [-161, -353, -383, -733], [59, 245, 263, 607])
(24, 70, -4, (2, 3, 5, 7), [-395, -713, -773, -779], [191, 265, 727, 1765])
(24, 71, -4, (2, 3, 5, 7), [-113, -223, -235, -1633], [253, 409, 517, 637])
(24, 72, -4, (2, 3, 5, 7), [-97, -749, -803, -1025], [245, 283, 365, 385])
(24, 73, -4, (2, 3, 5, 7), [-13, -155, -203, -793], [43, 547, 713, 775])
(24, 74, -4, (2, 3, 5, 7), [-439, -535, -1055, -1679], [343, 625, 955, 1373])
(24, 75, -4, (2, 3, 5, 7), [-91, -457, -481, -635], [349, 563, 733, 913])
(24, 76, -4, (2, 3, 5, 7), [-623, -743, -805, -1429], [245, 263, 545, 635])
(24, 77, -4, (2, 3, 5, 7), [-133, -505, -685, -727], [53, 515, 815, 1355])
(24, 78, -4, (2, 3, 5, 7), [-275, -395, -523, -745], [133, 457, 887, 1277])
(24, 79, -4, (2, 3, 5, 7), [-233, -485, -835, -1057], [359, 407, 719, 803])
(24, 80, -4, (2, 3, 5, 7), [-13, -547, -1117, -1147], [337, 595, 1025, 1123])
(24, 81, -4, (2, 3, 5, 7), [-527, -655, -745, -1187], [277, 377, 517, 595])
(24, 82, -4, (2, 3, 5, 7), [-203, -467, -659, -667], [683, 727, 1313, 1757])
(24, 83, -4, (2, 3, 5, 7), [-235, -347, -491, -625], [419, 433, 479, 623])
(24, 84, -4, (2, 3, 5, 7), [-325, -1547, -1969, -2005], [197, 253, 263, 373])
(24, 85, -4, (2, 3, 5, 7), [-133, -145, -413, -431], [29, 569, 695, 1037])
(24, 86, -4, (2, 3, 5, 7), [-13, -73, -439, -703], [301, 533, 1277, 1523])
(24, 87, -4, (2, 3, 5, 7), [-721, -1025, -1165, -1445], [329, 427, 1073, 1105])
(24, 88, -4, (2, 3, 5, 7), [-239, -337, -637, -859], [131, 677, 707, 761])
(24, 89, -4, (2, 3, 5, 7), [-35, -727, -791, -1123], [29, 157, 563, 923])
(24, 90, -4, (2, 3, 5, 7), [-227, -713, -833, -907], [163, 233, 425, 613])
(24, 91, -4, (2, 3, 5, 7), [-187, -511, -683, -833], [59, 157, 607, 737])
(24, 92, -4, (2, 3, 5, 7), [-97, -1337, -1457, -1487], [301, 575, 707, 883])
(24, 93, -4, (2, 3, 5, 7), [-5, -571, -611, -725], [373, 437, 1469, 1613])
(24, 94, -4, (2, 3, 5, 7), [-1009, -1339, -1357, -1387], [1321, 1357, 1943, 2275])
(24, 95, -4, (2, 3, 5, 7), [-83, -827, -977, -1411], [547, 929, 1429, 1433])
(24, 96, -4, (2, 3, 5, 7), [-17, -329, -607, -973], [47, 53, 323, 1423])
(24, 97, -4, (2, 3, 5, 7), [-223, -331, -431, -1117], [77, 859, 869, 1177])
(24, 98, -4, (2, 3, 5, 7), [-73, -77, -265, -305], [235, 515, 721, 743])
(24, 99, -4, (2, 3, 5, 7), [-11, -385, -491, -1741], [79, 83, 989, 1075])
(24, 100, -4, (2, 3, 5, 7), [-173, -223, -299, -785], [1045, 1217, 1261, 1343])
(24, 101, -4, (2, 3, 5, 7), [-1141, -1417, -1523, -1805], [55, 269, 337, 343])
(24, 102, -4, (2, 3, 5, 7), [-523, -769, -1099, -1747], [185, 721, 845, 1025])
(24, 103, -4, (2, 3, 5, 7), [-467, -727, -1001, -1241], [259, 665, 709, 1007])
(24, 104, -4, (2, 3, 5, 7), [-77, -239, -463, -563], [541, 581, 961, 1325])
(24, 105, -4, (2, 3, 5, 7), [-193, -365, -443, -1037], [583, 697, 805, 917])
(24, 106, -4, (2, 3, 5, 7), [-617, -1315, -1363, -1535], [503, 685, 863, 977])
(24, 107, -4, (2, 3, 5, 7), [-287, -613, -715, -763], [187, 329, 403, 437])
(24, 108, -4, (2, 3, 5, 7), [-637, -1057, -1085, -1253], [133, 301, 1261, 1387])
(24, 109, -4, (2, 3, 5, 7), [-527, -757, -1003, -1273], [787, 1007, 1387, 1423])
(24, 110, -4, (2, 3, 5, 7), [-509, -889, -907, -923], [235, 557, 1453, 1537])
(24, 111, -4, (2, 3, 5, 7), [-1583, -1907, -2447, -3323], [55, 215, 1003, 1325])
(24, 112, -4, (2, 3, 5, 7), [-127, -329, -377, -775], [1013, 1075, 1147, 1385])
(24, 113, -4, (2, 3, 5, 7), [-581, -1103, -1247, -1313], [13, 635, 1097, 1637])
(24, 114, -4, (2, 3, 5, 7), [-97, -299, -439, -937], [161, 337, 1477, 1633])
(24, 115, -4, (2, 3, 5, 7), [-313, -721, -877, -1535], [29, 239, 1385, 2555])
(24, 116, -4, (2, 3, 5, 7), [-179, -719, -797, -1069], [323, 601, 1001, 2221])
(24, 117, -4, (2, 3, 5, 7), [-43, -977, -1241, -1355], [13, 259, 335, 359])
(24, 118, -4, (2, 3, 5, 7), [-227, -295, -343, -1085], [313, 373, 443, 1583])
(24, 119, -4, (2, 3, 5, 7), [-197, -1297, -2087, -2425], [433, 1667, 1673, 1757])
(24, 120, -4, (2, 3, 5, 7), [-335, -593, -2875, -3929], [37, 833, 1267, 1465])
(24, 121, -4, (2, 3, 5, 7), [-235, -391, -1037, -1133], [79, 775, 2155, 2507])
(24, 122, -4, (2, 3, 5, 7), [-319, -887, -1543, -2129], [697, 731, 917, 1045])
(24, 123, -4, (2, 3, 5, 7), [-781, -793, -1061, -1681], [193, 269, 313, 319])
(24, 124, -4, (2, 3, 5, 7), [-547, -595, -1333, -1637], [373, 691, 767, 935])
(24, 125, -4, (2, 3, 5, 7), [-407, -445, -671, -1445], [2087, 2395, 2615, 3083])
(24, 126, -4, (2, 3, 5, 7), [-17, -19, -395, -1069], [61, 415, 577, 1765])
