名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的用户	许可的计算机	
Windows 远程管理 - 兼容模式(HTTP-In)	Windows 远程管理	专用, 公用	否	允许	否	System	任何	本地子网	TCP	80	任何	任何	任何	
Windows 远程管理 - 兼容模式(HTTP-In)	Windows 远程管理	域	否	允许	否	System	任何	任何	TCP	80	任何	任何	任何	
Windows 协作计算机名称注册服务(SSDP-In)	Windows 协作计算机名称注册服务	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
Windows 协作计算机名称注册服务(PNRP-In)	Windows 协作计算机名称注册服务	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	3540	任何	任何	任何	
Windows 防火墙远程管理(RPC-EPMAP)	Windows 防火墙远程管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
Windows 防火墙远程管理(RPC-EPMAP)	Windows 防火墙远程管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
Windows 防火墙远程管理(RPC)	Windows 防火墙远程管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
Windows 防火墙远程管理(RPC)	Windows 防火墙远程管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
Windows 对等协作基础(WSD-In)	Windows 对等协作基础	所有	否	允许	否	%SystemRoot%\system32\p2phost.exe	任何	本地子网	UDP	3702	任何	任何	任何	
Windows 对等协作基础(TCP-In)	Windows 对等协作基础	所有	否	允许	否	%SystemRoot%\system32\p2phost.exe	任何	任何	TCP	任何	任何	任何	任何	
Windows 对等协作基础(SSDP-In)	Windows 对等协作基础	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
Windows 对等协作基础(PNRP-In)	Windows 对等协作基础	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	3540	任何	任何	任何	
Windows Media Player 网络共享服务(UPnP-In)	Windows Media Player 网络共享服务	域, 公用	否	允许	否	System	任何	本地子网	TCP	2869	任何	任何	任何	
Windows Media Player 网络共享服务(UPnP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	System	任何	本地子网	TCP	2869	任何	任何	任何	
Windows Media Player 网络共享服务(UDP-In)	Windows Media Player 网络共享服务	公用	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	UDP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(UDP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	UDP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(UDP-In)	Windows Media Player 网络共享服务	域	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	任何	UDP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(TCP-In)	Windows Media Player 网络共享服务	公用	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	TCP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(TCP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	本地子网	TCP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(TCP-In)	Windows Media Player 网络共享服务	域	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	任何	任何	TCP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-UDP-In)	Windows Media Player 网络共享服务	域	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	任何	UDP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-UDP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	本地子网	UDP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(Streaming-UDP-In)	Windows Media Player 网络共享服务	公用	否	允许	否	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任何	本地子网	UDP	任何	任何	任何	任何	
Windows Media Player 网络共享服务(SSDP-In)	Windows Media Player 网络共享服务	域, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
Windows Media Player 网络共享服务(SSDP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
Windows Media Player 网络共享服务(qWave-UDP-In)	Windows Media Player 网络共享服务	公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	2177	任何	任何	任何	
Windows Media Player 网络共享服务(qWave-UDP-In)	Windows Media Player 网络共享服务	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	UDP	2177	任何	任何	任何	
Windows Media Player 网络共享服务(qWave-UDP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	2177	任何	任何	任何	
Windows Media Player 网络共享服务(qWave-TCP-In)	Windows Media Player 网络共享服务	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	2177	任何	任何	任何	
Windows Media Player 网络共享服务(qWave-TCP-In)	Windows Media Player 网络共享服务	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	2177	任何	任何	任何	
Windows Media Player 网络共享服务(qWave-TCP-In)	Windows Media Player 网络共享服务	公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	2177	任何	任何	任何	
