名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	许可的用户	许可的计算机	
360se.exe		公用	是	允许	否	C:\Users\Administrator\AppData\Roaming\360se6\Application\360se.exe	任何	任何	UDP	任何	任何	任何	任何	
远程桌面(TCP-In)	远程桌面	所有	否	允许	否	System	任何	任何	TCP	3389	任何	任何	任何	
远程桌面 - RemoteFX (TCP-In)	远程桌面 - RemoteFX	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	3389	任何	任何	任何	
远程协助(TCP-In)	远程协助	公用	否	允许	否	%SystemRoot%\system32\msra.exe	任何	任何	TCP	任何	任何	任何	任何	
远程协助(TCP-In)	远程协助	域, 专用	否	允许	否	%SystemRoot%\system32\msra.exe	任何	任何	TCP	任何	任何	任何	任何	
远程协助(SSDP UDP-In)	远程协助	域, 专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
远程协助(SSDP TCP-In)	远程协助	域, 专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	2869	任何	任何	任何	
远程协助(RA 服务器 TCP-In)	远程协助	域	否	允许	否	%SystemRoot%\system32\raserver.exe	任何	任何	TCP	任何	任何	任何	任何	
远程协助(PNRP-In)	远程协助	公用	否	允许	否	%systemroot%\system32\svchost.exe	任何	任何	UDP	3540	任何	任何	任何	
远程协助(PNRP-In)	远程协助	域, 专用	否	允许	否	%systemroot%\system32\svchost.exe	任何	任何	UDP	3540	任何	任何	任何	
远程协助(DCOM-In)	远程协助	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	135	任何	任何	任何	
远程事件日志管理(RPC-EPMAP)	远程事件日志管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程事件日志管理(RPC-EPMAP)	远程事件日志管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程事件日志管理(RPC)	远程事件日志管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程事件日志管理(RPC)	远程事件日志管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程事件日志管理(NP-In)	远程事件日志管理	专用, 公用	否	允许	否	System	任何	本地子网	TCP	445	任何	任何	任何	
远程事件日志管理(NP-In)	远程事件日志管理	域	否	允许	否	System	任何	任何	TCP	445	任何	任何	任何	
远程卷管理(RPC-EPMAP)	远程卷管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程卷管理(RPC-EPMAP)	远程卷管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务加载器(RPC)	远程卷管理	专用, 公用	否	允许	否	%SystemRoot%\system32\vdsldr.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务加载器(RPC)	远程卷管理	域	否	允许	否	%SystemRoot%\system32\vdsldr.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务(RPC)	远程卷管理	域	否	允许	否	%SystemRoot%\system32\vds.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程卷管理 – 虚拟磁盘服务(RPC)	远程卷管理	专用, 公用	否	允许	否	%SystemRoot%\system32\vds.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程计划任务管理(RPC-EPMAP)	远程计划任务管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程计划任务管理(RPC-EPMAP)	远程计划任务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程计划任务管理(RPC)	远程计划任务管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程计划任务管理(RPC)	远程计划任务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程服务管理(RPC-EPMAP)	远程服务管理	域	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
远程服务管理(RPC-EPMAP)	远程服务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
远程服务管理(RPC)	远程服务管理	专用, 公用	否	允许	否	%SystemRoot%\system32\services.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
远程服务管理(RPC)	远程服务管理	域	否	允许	否	%SystemRoot%\system32\services.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
远程服务管理(NP-In)	远程服务管理	域	否	允许	否	System	任何	任何	TCP	445	任何	任何	任何	
远程服务管理(NP-In)	远程服务管理	专用, 公用	否	允许	否	System	任何	本地子网	TCP	445	任何	任何	任何	
性能日志和警报(TCP-In)	性能日志和警报	域	否	允许	否	%systemroot%\system32\plasrv.exe	任何	任何	TCP	任何	任何	任何	任何	
性能日志和警报(TCP-In)	性能日志和警报	专用, 公用	否	允许	否	%systemroot%\system32\plasrv.exe	任何	本地子网	TCP	任何	任何	任何	任何	
性能日志和警报(DCOM-In)	性能日志和警报	专用, 公用	否	允许	否	%systemroot%\system32\svchost.exe	任何	本地子网	TCP	135	任何	任何	任何	
性能日志和警报(DCOM-In)	性能日志和警报	域	否	允许	否	%systemroot%\system32\svchost.exe	任何	任何	TCP	135	任何	任何	任何	
无线便携式设备(UPnP-In)	无线便携设备	所有	否	允许	否	System	任何	本地子网	TCP	2869	任何	任何	任何	
无线便携式设备(SSDP-In)	无线便携设备	所有	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv6-In)	文件和打印机共享	域	否	允许	否	任何	任何	任何	ICMPv6	任何	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv6-In)	文件和打印机共享	专用	否	允许	否	任何	任何	本地子网	ICMPv6	任何	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv6-In)	文件和打印机共享	公用	否	允许	否	任何	任何	本地子网	ICMPv6	任何	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv4-In)	文件和打印机共享	公用	否	允许	否	任何	任何	本地子网	ICMPv4	任何	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv4-In)	文件和打印机共享	域	否	允许	否	任何	任何	任何	ICMPv4	任何	任何	任何	任何	
文件和打印机共享(回显请求 - ICMPv4-In)	文件和打印机共享	专用	否	允许	否	任何	任何	本地子网	ICMPv4	任何	任何	任何	任何	
文件和打印机共享(后台打印程序服务 - RPC-EPMAP)	文件和打印机共享	专用	否	允许	否	任何	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
文件和打印机共享(后台打印程序服务 - RPC-EPMAP)	文件和打印机共享	域	否	允许	否	任何	任何	任何	TCP	RPC 终结点映射器	任何	任何	任何	
文件和打印机共享(后台打印程序服务 - RPC-EPMAP)	文件和打印机共享	公用	否	允许	否	任何	任何	本地子网	TCP	RPC 终结点映射器	任何	任何	任何	
文件和打印机共享(后台打印程序服务 - RPC)	文件和打印机共享	域	否	允许	否	%SystemRoot%\system32\spoolsv.exe	任何	任何	TCP	RPC 动态端口	任何	任何	任何	
文件和打印机共享(后台打印程序服务 - RPC)	文件和打印机共享	公用	否	允许	否	%SystemRoot%\system32\spoolsv.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
文件和打印机共享(后台打印程序服务 - RPC)	文件和打印机共享	专用	否	允许	否	%SystemRoot%\system32\spoolsv.exe	任何	本地子网	TCP	RPC 动态端口	任何	任何	任何	
文件和打印机共享(SMB-In)	文件和打印机共享	域	否	允许	否	System	任何	任何	TCP	445	任何	任何	任何	
文件和打印机共享(SMB-In)	文件和打印机共享	公用	否	允许	否	System	任何	本地子网	TCP	445	任何	任何	任何	
文件和打印机共享(SMB-In)	文件和打印机共享	专用	否	允许	否	System	任何	本地子网	TCP	445	任何	任何	任何	
文件和打印机共享(NB-Session-In)	文件和打印机共享	专用	否	允许	否	System	任何	本地子网	TCP	139	任何	任何	任何	
文件和打印机共享(NB-Session-In)	文件和打印机共享	公用	否	允许	否	System	任何	本地子网	TCP	139	任何	任何	任何	
文件和打印机共享(NB-Session-In)	文件和打印机共享	域	否	允许	否	System	任何	任何	TCP	139	任何	任何	任何	
文件和打印机共享(NB-Name-In)	文件和打印机共享	公用	否	允许	否	System	任何	本地子网	UDP	137	任何	任何	任何	
文件和打印机共享(NB-Name-In)	文件和打印机共享	专用	否	允许	否	System	任何	本地子网	UDP	137	任何	任何	任何	
文件和打印机共享(NB-Name-In)	文件和打印机共享	域	否	允许	否	System	任何	任何	UDP	137	任何	任何	任何	
文件和打印机共享(NB-Datagram-In)	文件和打印机共享	域	否	允许	否	System	任何	任何	UDP	138	任何	任何	任何	
文件和打印机共享(NB-Datagram-In)	文件和打印机共享	专用	否	允许	否	System	任何	本地子网	UDP	138	任何	任何	任何	
文件和打印机共享(NB-Datagram-In)	文件和打印机共享	公用	否	允许	否	System	任何	本地子网	UDP	138	任何	任何	任何	
文件和打印机共享(LLMNR-UDP-In)	文件和打印机共享	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	5355	任何	任何	任何	
文件和打印机共享(LLMNR-UDP-In)	文件和打印机共享	域, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	5355	任何	任何	任何	
网络发现(WSD-In)	网络发现	域, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	3702	任何	任何	任何	
网络发现(WSD-In)	网络发现	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	3702	任何	任何	任何	
网络发现(WSD EventsSecure-In)	网络发现	专用	否	允许	否	System	任何	本地子网	TCP	5358	任何	任何	任何	
网络发现(WSD EventsSecure-In)	网络发现	公用	否	允许	否	System	任何	本地子网	TCP	5358	任何	任何	任何	
网络发现(WSD EventsSecure-In)	网络发现	域	否	允许	否	System	任何	任何	TCP	5358	任何	任何	任何	
网络发现(WSD Events-In)	网络发现	域	否	允许	否	System	任何	任何	TCP	5357	任何	任何	任何	
网络发现(WSD Events-In)	网络发现	公用	否	允许	否	System	任何	本地子网	TCP	5357	任何	任何	任何	
网络发现(WSD Events-In)	网络发现	专用	否	允许	否	System	任何	本地子网	TCP	5357	任何	任何	任何	
网络发现(UPnP-In)	网络发现	专用	否	允许	否	System	任何	本地子网	TCP	2869	任何	任何	任何	
网络发现(UPnP-In)	网络发现	域	否	允许	否	System	任何	任何	TCP	2869	任何	任何	任何	
网络发现(SSDP-In)	网络发现	域	否	允许	否	C:\Windows\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
网络发现(SSDP-In)	网络发现	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	1900	任何	任何	任何	
网络发现(Pub-WSD-In)	网络发现	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	3702	任何	任何	任何	
网络发现(Pub-WSD-In)	网络发现	域, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	3702	任何	任何	任何	
网络发现(NB-Name-In)	网络发现	域	否	允许	否	System	任何	任何	UDP	137	任何	任何	任何	
网络发现(NB-Name-In)	网络发现	公用	否	允许	否	System	任何	本地子网	UDP	137	任何	任何	任何	
网络发现(NB-Name-In)	网络发现	专用	否	允许	否	System	任何	本地子网	UDP	137	任何	任何	任何	
网络发现(NB-Datagram-In)	网络发现	专用	否	允许	否	System	任何	本地子网	UDP	138	任何	任何	任何	
网络发现(NB-Datagram-In)	网络发现	域	否	允许	否	System	任何	任何	UDP	138	任何	任何	任何	
网络发现(NB-Datagram-In)	网络发现	公用	否	允许	否	System	任何	本地子网	UDP	138	任何	任何	任何	
网络发现(LLMNR-UDP-In)	网络发现	域, 公用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	5355	任何	任何	任何	
网络发现(LLMNR-UDP-In)	网络发现	专用	否	允许	否	%SystemRoot%\system32\svchost.exe	任何	本地子网	UDP	5355	任何	任何	任何	
腾讯产品下载组件Crash上报		专用, 公用	否	允许	否	C:\program files (x86)\common files\tencent\qqdownload\128\bugreport_xf.exe	任何	任何	任何	任何	任何	任何	任何	
腾讯产品下载组件Crash上报		域	否	允许	否	C:\program files (x86)\common files\tencent\qqdownload\128\bugreport_xf.exe	任何	任何	任何	任何	任何	任何	任何	
腾讯产品下载组件		域	否	允许	否	C:\program files (x86)\common files\tencent\qqdownload\128\tencentdl.exe	任何	任何	任何	任何	任何	任何	任何	
腾讯产品下载组件		专用, 公用	否	允许	否	C:\program files (x86)\common files\tencent\qqdownload\128\tencentdl.exe	任何	任何	任何	任何	任何	任何	任何	
路由和远程访问(PPTP-In)	路由和远程访问	所有	否	允许	否	System	任何	任何	TCP	1723	任何	任何	任何	
路由和远程访问(L2TP-In)	路由和远程访问	所有	否	允许	否	System	任何	任何	UDP	1701	任何	任何	任何	
路由和远程访问(GRE-In)	路由和远程访问	所有	否	允许	否	System	任何	任何	GRE	任何	任何	任何	任何	
连接到网络投影仪(WSD EventsSecure-In)	连接到网络投影仪	专用, 公用	否	允许	否	System	任何	本地子网	TCP	5358	任何	任何	任何	
连接到网络投影仪(WSD EventsSecure-In)	连接到网络投影仪	域	否	允许	否	System	任何	任何	TCP	5358	任何	任何	任何	
连接到网络投影仪(WSD Events-In)	连接到网络投影仪	专用, 公用	否	允许	否	System	任何	本地子网	TCP	5357	任何	任何	任何	
连接到网络投影仪(WSD Events-In)	连接到网络投影仪	域	否	允许	否	System	任何	任何	TCP	5357	任何	任何	任何	
酷我音乐		公用	否	允许	否	C:\Program Files (x86)\kuwo\kuwomusic\8.7.0.0_UG6_1\bin\KwMusic.exe	任何	任何	TCP	任何	任何	任何	任何	
酷我音乐		公用	否	允许	否	C:\Program Files (x86)\kuwo\kuwomusic\8.7.0.0_UG6_1\bin\KwMusic.exe	任何	任何	UDP	任何	任何	任何	任何	
酷我音乐		公用	否	允许	否	C:\Program Files (x86)\kuwo\KWMUSIC\bin\KwMusic.exe	任何	任何	UDP	任何	任何	任何	任何	
酷我音乐		公用	否	允许	否	C:\Program Files (x86)\kuwo\KWMUSIC\bin\KwMusic.exe	任何	任何	TCP	任何	任何	任何	任何	
酷我核心服务		公用	否	允许	否	C:\Program Files (x86)\kuwo\KWMUSIC\bin\KwService.exe	任何	任何	TCP	任何	任何	任何	任何	
酷我核心服务		公用	否	允许	否	C:\Program Files (x86)\kuwo\KWMUSIC\bin\KwService.exe	任何	任何	UDP	任何	任何	任何	任何	
酷我核心服务		公用	否	允许	否	C:\Program Files (x86)\kuwo\kuwomusic\8.7.0.0_UG6_1\bin\KwService.exe	任何	任何	UDP	任何	任何	任何	任何	
酷我核心服务		公用	否	允许	否	C:\Program Files (x86)\kuwo\kuwomusic\8.7.0.0_UG6_1\bin\KwService.exe	任何	任何	TCP	任何	任何	任何	任何	
酷狗音乐UPnP		公用	否	允许	否	C:\Program Files (x86)\KuGou\KuGou2011\8.1.71.20109\kgupnp.exe	任何	任何	UDP	任何	任何	任何	任何	
酷狗音乐UPnP		公用	否	允许	否	C:\Program Files (x86)\KuGou\KuGou2011\8.1.71.20109\kgupnp.exe	任何	任何	TCP	任何	任何	任何	任何	
酷狗音乐UPnP		专用	否	允许	否	C:\Program Files (x86)\KuGou\KuGou2011\8.1.71.20109\kgupnp.exe	任何	任何	TCP	任何	任何	任何	任何	
酷狗音乐UPnP		专用	否	允许	否	C:\Program Files (x86)\KuGou\KuGou2011\8.1.71.20109\kgupnp.exe	任何	任何	UDP	任何	任何	任何	任何	
酷狗音乐DLNA		公用	否	允许	否	C:\Users\Administrator\AppData\Roaming\KuGou8\AppStore\6\dlna_player.exe	任何	任何	UDP	任何	任何	任何	任何	
